review,rating
Got this for my puppy who loves to chew thinking it would be nice since you freeze it and he played with it 2 minutes before it broke open and the liquid in it started to come out.. I def won't purchase this again.,1
Looks great,5
"Pugs are NOT finicky eaters - still mine gobbles this up and loves it as much as any food I've tried on him. He weighed 18 lbs. when I first started him on this and reminded me of a fat little sausage. He has almost finished one 26 lb. bag and has lost 3 lbs. and is holding at a steady 15 lbs. now. I feed him 1/4 c. in the morning and 1/3 c. in the evening. And....2 - 3 times a week I give him a ""treat"". The food does what is supposed to. Vet says he couldn't be healthier!",5
"My dog has worn this for a couple weeks now. We get a lot of compliments on it. It has held up to much play time, including time at doggie daycare. It has not broken or come apart. Still looks like new. Very happy. I attached her name tag to it and it still looks great.",5
"Perfect for my 3 pooches, great price.",5
works ok but Im switching to oral medication to help with allergies better. This is not as good as comfortis,3
"Don't know what it will do to my dogs yes, but they don't mind it and it smells good.",5
Works!,5
"My 11-year-old jack russell terrier has had problems with her anal glands for YEARS. They would fill up so fast and she'd constantly be dragging herself or ""scooting"" to try to express them. None of the vets ever told us that this could be solved by adding more fiber to her diet. This stuff started working right away! We noticed her stools getting more firm after one day. We sprinkle this on her food and she actually likes the flavor! I haven't seen her scoot since we started using this! :)",5
its not all that great. i mean my dog likes it most of the time when hes starving and we haven't given him some real chicken and meat that  night. i think it makes his stool very dry sometimes and hard for him to go. i doubt i will purchase this again.,3
Love this product!:),5
It's good for the price:). The whole thing doesn't heat up just the size of the warmer inside which is long and skinny and the bed is square.  But good for the price.,3
"I liked it until I had to wash it, after that...and even somewhat before that... It started to topple sideways. It didn't hold it's shape well and I had to go buy hard sided carriers.",3
"This is a great cat tree!  It is a nice height- goes up to 72 inches... quite clean and new looking- a ""carpet like"" material- but seemingly of adequate thickness.  The particle board that constructs it leads one to believe it is flimsy looking, but it stands quite firm and tall.  Its compact a lot of tree packed into not too wide of a piece of furniture.  My other 72 inch tree takes up more space.  (  I wanted to ""bookend"" my fireplace.  lol) It does shake a little, but overall it is quite firm- the last thing on my mind is that it will collapse under my 10 pound cat.  There are a lot of pieces- obviously with the different levels and houses there has to be.  But EVERY NEEDED screw and part was sent with an excellent diagram,  by GO PET CLUB.  In fact this is my 2nd tree from them and every part and screw was present in both!  Thank u G.P.C.!!!.  I'd like to add that the tree is packed into an extremely compact box- should readily fit into any car trunk or back seat!  I thought I might have to rent a small u- haul- but it's really interesting the way the company knows how to pack so well!  Must be a ""package design engineer"" in the picture.  It actually took me 5 hours to assemble this cat tree.  By the time you lay  out the parts and screws... screw everything together correctly  etc.  I got a little stuck on one shelf- it more or less ""attaches to a higher shelf- (we're talking at the upper level )  and there are two ""stabilizing bolts""-  but any adult should ultimately figure it out- Quite easy actually but you have to recognize how the bolts attach.  Just use the diagram and the holes in the boards as a guide.  However 90% of the steps to assemble are quite straightforward. Very reasonably priced- I guess it is so because the buyer must assemble- which does take a bit of time and energy- u might even work up  a sweat!  However, I really had "" a feeling of accomplishment"" upon completion.!!!  Now if my cat just hops up and down on it.....!",5
Very nice sized plant. Looks great in my tank! Arrived healthy and ready to go in.,5
nice tag,5
Smells like a flea collar yuck.,2
I have to really mix it into my cat's food or he won't touch it. The other kind I used before he would gobble up with it sprinkled right on top of the food. Haven't gotten enough into him to tell results b/c I can't mix a whole serving in or he won't eat it at all.,3
My betta loves it and does not rip his fins!  A lot of times i'll find him swimming through them or laying on them and he seems to enjoy them.  I have had this for about a month and no rip fins!,5
"This food was recommended by my dog's veterinarian and she loves it...I notice a difference in her coat and
her energy.",5
"There's a lot of literature about proper pet diet these days, with large pet food manufacturers taking a lot of heat for using cheap and dangerous materials in their products.  My cats have been on Fancy Feast for several years and always have nice coats, no dandruff, healthy skin, eyes, stools, etc.  I've recently switched the bulk of my cat""s diet to raw meat with a supplement vitamin powder, but still keep the Fancy Feast around as a backup.  I've seen modest changes to my cat's appearance and behavior since transitioning her diet to raw meat, but I'm quite confident that Fancy Feast maintains the proper nutrition to keep my cat healthy and vibrant.",5
I've found these to be the best priced Hartz pads so far.,5
"Based on reviews I purchased the large, but it was too small for my 90 pound dog. Unfortunately I have to send it back the same day I received it. It seems comfortable, not very thick though. The packaging was pretty bad, it was folded and stuffed into the smallest shipping bag and taped up all around. Ill be lucky if I can reuse the same packaging to return it.",3
cats are happy,5
"This is a great cleaner of the gravel. The reason I gave 3 stars is because I had to put in some effort to make it work.

The bottom plastic part is a bit loose. It keeps moving loosely.

Also, the noticeable lower most portion of the tube with carved openings, prevent the vacuum from working well. I had to wrap up the bottom opening part with a plaster to make it work.",3
"Still debating between this and orijen.
I fed my cat Taste of the Wild for 3 years, seems to be the best product quality price ratio.
I have the luxury of a cat that eats at its own pace without going overweight actually very fit (a relatively small male part  maincoon part tabby at 14lbs), so I always put more than I know he will eat in a day (and avoid being awaken at night for wanting food).

Very noticeable difference from cheap food to this, better fluffier coat within two months, even while being indoor/outdoor. Now forced to be indoor only (not by choice sadly, apartment life) my cat coat was even nicer.

I'm currently trying orijen, which my cat loves even more, which from research seems to be even better quality but also three times the price per weight, orijen seems to have made my cat more active in a good way, he eats less of it, 1/2 to 2/3 of Taste of the Wild amount. so 3 times the price in volume actually turns to about twice the price over time. His stools with orijen are softer than they were with Taste of the Wild, and did need a slow transition, from being on Taste of the Wild for a few years
Due to the higher cost of orijen I may end up going at the half way road, mixing both this Taste of the Wild and orijen",5
"Just received two of these for my very messy cats. They seem to be an appropriate size for small cat bowls and so far have reduced the mess. Someone else mentioned that they didn't like the ridges. However I like that it has ridges to catch the spill. It is made out of a hard rubber so should rinse off fairly easily when the time comes. Did not have a strong odor either. So far, would buy again",5
One cat did not like it four days later. I will look later for another brand.,1
Works pretty good within 24 hours to start killing fleas buy for a strong flea infestation like in the summertime you'll have to use it once a month for at least three months as flea eggs can hatch every 2 to 10 days and if your cat shows any signs of acting funny or weird then just simply shower off your kitty quickly as rarely some kitties are allergic just like some of us are allergic to some medications and the try Advantage on that kitty. Also you need to vacuum your house weekly or twice weekly starting out and disinfect and wipe out areas you think that flea eggs could have fallen into. This product also can be used with Capstar which is a pill that will kill adult fleas within 15 minutes works great and is one third the price but it's a one time treatment adult fleas only so I found it good to use Capstar within a few days of putting on Frontline and then again the following week to assure the infestation was gone as my little calico is allergic to flea bites and breaks out badly with just one flea.,4
"I purchased this little brush to help groom our mini Aussie puppy and get him used to the process.  It is small enough to fit into my small hands easily, and its size makes it easy to work in small areas such as the ears and paws. Its soft bristles are gentle enough that it doesn't scare or scratch the puppy. I find it's easy to clean the hair out of the brush by simply running a dog comb through the slicker bristles.",5
Good product,4
"I purchased two balls .. the first ball lasted about 4 mins, then quit.  The second ball my dog popped open in about 8 mins.  I was disappointed.  They are not meant for larger dogs or dogs that play aggressive.  I think these balls are meant for smaller dogs.. Although for the few mins they swatted them around on floor, they enjoyed.. It was a expensive purchase for only a few mins.",2
I use this as training treats and kong stuffers.  The dogs love them and I like that they have a smell that gets the dogs attention!,5
Perfect size for my cat's am feeding...not stinky and trays go right into the recycle!!,5
I could not get it out of the package fast enough for my puppy she was so excited for it.,5
"I myself didn't actually try them, but my two boys (dogs) loved them, we will definitely buy them in the future.  Thanks again for the sample, it was greatly appreciated.",5
"My cats like it, so what else matters? I bought it for them so they would feel more occupied during snack time instead of inhaling their dry food/treats. The younger cats took to it right away. The oldest cat has no interest in it whatsoever, but he isn't interested in much of anything.

I find it amusing to watch them work the food out of all 4 puzzles.",4
Works great.  Use for a Pomeranian.  Good price on this amount,5
Good and soft brush for short haired dogs such as my Boston.,4
"So far it is not destroyed. I have a border collie who destroys the ""indestructible"" I e-mailed the company before hand to make sure that buying it on Amazon I would still be able to get a replacement if he did indeed destroy it. They responded very quickly and let me know to keep my receipt but they would be happy to refund their product if there were any issues. It has been a week and so far the ball is still alive and well. It is very dense, In the picture it makes it look like there is some divets but for the most part the ball is pretty solid (and ball shaped). If you have a toy destroyer like me definitely give this one a try! It is a bit expensive but considering the warranty the company stands behind; it is well worth it!",4
"The reviews sold me on this product, but my cat wasn't receptive.  One broke upon being tossed for kitty to play with.",2
Good for the parrotlets to cling too.,5
"Doesn't actually grind nails just slowly spins , worthless",1
The birds of all types love this food.,5
"Our dog was eating his food way, way too fast.  I ordered this bowl and he still eats fast, however he can only eat small bits of food at a time instead of snarfing down great big huge mouthfuls which is much safer.

The large bowl works well for a labrador sized dog.  I ordered the medium by mistake and it would hold about a cup of food, but it is better suited for a smaller dog with a smaller nose/snout.",5
"My mini dachshunds love to burrow, so these cave beds have always been great for them.  Price was very reasonable, and now I know why.  The fabric is very flimsy compared to the beds we've had in the past.",3
Does what its intended to do. Slow our dog from gobbling down her food and then getting sick later. I swear she eats her food like we are starving her to death and it's the last meal she will ever have. This has both slowed down her eating process and also created a puzzle for her as she has to be methodical in how she tries to get access to the kibble.,5
"I have 2 shih-tzu crosses & bought one for each. These fit well & more important, they stay closed. Your dog will not be getting out of these. I have a few harnesses & I  count on these for traveling. They seem to be comfortable for both of our girls as neither one fights around while wearing them. I'm pretty sure you'll be very happy with them also..",5
"Only pellet my Conure will eat.  She likes the finer grind better though, but she does eat these.
She likes to be hand fed and lets me watch her eat this.  She's about 22 years old and a real fussy ol' lady.",4
"My goto litter!  I have ferrets and am very cautious about what I used in their boxes.  I love that this product is all natural, bio-degradable, naturally clumping, flushable and best of all.... controls odor better than any recycled newspaper litter.  Another positive, is that this product naturally clumps instead of turning to sawdust like a feline pine or wood stove chips do, so its safer for the critters respiratory system.",5
Great price and the cats love it. Must be pretty filling as well since neither of our cats will over eat it. We give them the suggested portions and they don't typically finish it off till the next meal time.,5
"Finally found the right combination of dry and wet cat food for kitties with delicate digestive systems. Second bag ordered along with cans (salmon) seems to the trick. Both cats have put on weight and coats, energy, etc. have improved. Vet said allergies weren't food related, but seasonal. I believe both impact these felines and why weve tried various brands.",5
easy to install,4
Much smaller than the advertised sizing.  I measured my dog and bought a size up and it is still too small.,3
A little unwieldy but it works fine.,4
"My pups like it in the cooler weather and it's easy to clean---just pop into the washer.
No messy zippers that break or catch on fabric. For fitting purposes, my Tibetan Terriers are about 40 lbs and the size works well.",5
"My Newfoundland loves this can.  This past two years we have been giving this to her as part of her Thanksgiving feast. My children enjoy picking this out for her before Thanksgiving. Grinning that she will get to have her own Thanksgiving feast too. It seems very special for my kids to share the festivities with her on that special day.

Merrick prides itself with safe pet food, They only use ingredients made in the U.S and from farms they know and trust.
There website says they do not use anything from China. Which is hard to find now a days, even if products say made in USA that doesn't mean all the ingredients are from U.S. There is a loop hole, manufactures do not have to write where the ingredients came from as long as they combined products and made it to be pet food in the states they can label it as made in USA.
After doing some research and finding out, just looking for made in USA or buying food that are expensive didn't mean anything for the safety of my pets it really made me very uneasy feeding them.
I am very happy to of found a product that specifically informs consumers, NO usage of the very thing I wanted to avoid ""Ingredients from China"" .",5
grows fast. dies faster.,2
"**UPDATE**  I've been using this for 3 months now and it hasn't slipped or fallen ONCE. My cat is enjoying more as the summer turns to fall, probably because it's not so hot! Very pleased with the Kitty Cot and would recommend for cats everywhere!

I had wanted to buy my cat a window perch for years. I couldn't get around the cheap quality of perches I found in pet stores. Plus, I'm a renter, so the thought of patching up more holes in the wall when I would move out wasn't appealing. My cat seemed to enjoy sitting on the window ledges at my apartment, so I just gave up the search.

Recently, I moved into a new apartment and there aren't any window ledges large enough for my cat to sit on. I feel like she's getting seasonal affective disorder because of a lack of window time. The quest for the perch continued until I found the Kitty Cot.

At first, I was put off by the price, but ordered it anyway. Totally worth it! Great construction and quality materials. As advertised, the suction cups are heavy duty and had no problem sticking to my *now clean* 1940s windows.

My cat liked it a lot better once I put her favorite blanket and a toy on it. She uses it to bird watch during the day and curl into a ball for naps at various times.

See photo for evidence of a happy kitty.",5
A staple at home.,5
"Worked great the first two times my 14 week Aussie played with it. After the third time, it was in pieces. Would not recommend.",2
"I don't know what all the hoo-hah I read in reviews about this product was about. This thing is amazing! My dog has very short fur but has been shedding like crazy. When we were outside playing fetch today, I took the FURminator outside and used it on her in the middle of the play session.

I cant believe how much fur it caught. All the undercoat. She seemed to like it. She stood still and let me keep using it without whining or trying to get away. It was like it felt good to her.

And her coat was just beautiful after about four passes. So shiny!

So, I give this gizmo 5+ Stars.",5
Poor quality :( the pillow inside is way to small for the bed.. would not recommend this product  .. very disappointed,1
"The cats absolutely love this. I took my time letting them see it, smell it, rub up against it....I never push down, just let it glide across their body. They really enjoy it, and I was surprised by how much hair it picks up",5
Very consistent temperatures,5
"Ziggy my 2lb yorkie loves to this go with his crate., and fits the 20"" Firsttrax perfectly.. arrived in perfect condition and on time.. Price is the best",5
My Kittens like it.,4
"Very good idea in having nylon rather than chain in a choke collar. I liked the build and style of the collar but I wouldn't buy it again. The collar itself was way to thin for a larger dog and it was only offered in three (approx.) sizes all only 1/4 of an inch or less in difference. I only used the collar for two weeks before it began to look very worn and frayed. Also because of the thinness of the nylon it seemed, to me, that it was a bit more harsh on my dogs neck than a regular chain collar.
I recently purchased a thicker rectangular rather than rounded 20 inch nylon collar that has approx. 4 inches of chain for a quick release after a correction, the Hamilton was very slow to release if it did at all, I found myself manually fixing it more often than not.
I don't recommend this collar.",2
My two Afghan Hounds just love these.,5
This is a great brush for my cats. Hair removal is a breeze. Both my cats love being brushed and it helps decrease the shedding.,5
works great. My dog goes in the lake with it on and still works. three people on the block have this and we all like it,5
"These work great for my cat's. when the house gets noisy with a lot of company, and  my cats get scared with new people in the house this helps them a lot. I find that they don't stay hidden as long as they do if I have none in the house. I also have one cat that is has a stronger personality then the other and with out these she will go after her sister. with these they will sleep together.  I recommend this product.",5
"Great product and the only thing that has worked to keep my cats off the area I don't want them on.
The description of the product might sound mean to some people, but the reality seems to be that the cats instinctively know to stay off.
They offer a ""dummy"" matte, but my smart cats walk all over those!!",5
"Love, Love, LOVE!!! I will be purchasing the 3-step one soon!",5
"It is large, right where your fingers hold it. Not thrilling.",3
I tried 3 different harnesses for my puppies before I found one that was easy to get on them and hard for them to chew through -- this one does the trick!,5
My dogs really enjoy these bones and the flavorit holes keep them entertained.,5
"I purchased this product before and it seemed quite sturdy and worked well.  However, as my dog grew, he became a bit more persistent in his efforts to get in the front seats with us. Pawing at the cover did eventually tear it.  The product worked well for seat coverage though, so we purchased two more along with a barrier to put between the front seats.",4
"These broke and splintered immediately, my dog swallowed a large piece and threw up immediately...Very poor quality. These are not normal bully sticks.",1
This is the only canned food our cats will eat!,5
My Saint Bernard waits every morning for her joint treats....Smells the same as the chews I got at the vets for 3 times the price.,5
Did not work.,2
My hamster liked 10+,4
"It blends in with my living room nice, so I don't mind seeing it as a cat accessory in my house. My cats love playing with it, they jump all over it and play with the ball all the time. It's a tad wobbly, but they don't seem to mind. It's an easy yes purchase.",4
"excellent water filter cansiter for tanks of 55 Gls and more , espcially if you keep a bunch of cichlid fish",5
"I won't deny that all the good reviews are true - for all the years that I used it, Swheat was one of the best litters I've ever used.  But I had a heck of a shock in the realization that over the years my male cat had become ALLERGIC to it.  Humans can become allergic to all sorts of things over the years, but it took a chance comment from a friend to realize that that was why my poor male cat had licked himself BALD on the belly and was chewing on his paws to the point where he was causing himself injury.  When I immediately switched over to a clay-based scoop litter (after giving the boxes a thorough cleaning), he started to heal immediately, much to the astonishment of my vet.  He'd never heard of such a thing, and he's glad he did because he knows to keep an eye on other cats with similar problems.  No, not every cat will become allegic - that's why I gave the litter such a good rating.  But be careful and keep an eye on it.",5
"Well constructed but does not deliver on its no-pull advertising. Purchased this with the expectation that it would provide incentive to not pull. If they did not advertise this as no-pull, I would give it five stars for construction and comfort.",2
my Boston Terrier looks very nice with this sweater.,5
This brush is so soft it doesn't even feel like I am brushing my papillons coat but this brush really shines when brushing the delicate fringes.  My papillons now like having their ears brushed!,4
"I have a small poodle, 11 years old, and her hair has really started to thin. A groomer recommended I purchase this conditioner to use on her. It smells AMAZING and I can tell a difference each time I use it on her hair. You can't tell how bad of shape her hair is in as long as I continue to use this product.",5
Decent quality but will need to be rustgaurded if used outside,3
Works great! Easy to use and clean,5
"The dogs love it, it is however very heavy when dropped on your foot. I bought one initially to see how they would like it and ended up buying three more.",5
My boxer mix had it destroyed within thirty minutes!,1
This couch looks great in the living room and is low enough where my puppy can just jump on it and relax. The only complaint is the cushions were not very soft.,3
My pit bull loves this!! Gets her brain going!,5
"So I loved this at first because it is just so convenient. I would let it fill halfway, clean it out with a Clorox wipe, and start over again. Then the Litter Champ itself starting stinking ssooo badly. EVERYTIME I made a deposit the lingering smell would be worse than just the litter. When I emptied it the smell would fill my bathroom for hours because the plastic it is made of just absorbed all of the odor. No amount of cleaning or airing out could stop it, and I had to let it go",3
Great item. It is super quiet. Only problem is our little dwarf hamster has a hard time turning it. Would be OK for a normal size rodent.,5
"After countless hours of researching I decided on Taste of the Wild dog food.  Its grain free, high in protein, decently priced, several different flavors, and my dog loves it.",5
"They loved him,but not for heavy chewers",4
Great value for the quantity and quality.  Our Amazon parrot is fed these pellets and fresh foods only. I love that it's not dyed and full of ingredients that are unnecessary. He's healthy and happy.  And maybe a bit spoiled. We have purchased many times and will continue as long as it is available.,5
"Good Quality so five stars and good elastic, however I also purchased other styles
These are cute however they are not as nice as other selections.",5
The package arrived in a promptly (meaning the previous dog food didn't run out).  Our dog seems to love this food!,5
Perfect leashes for my two cockapoos :),5
"Great Harness, although it does choke them on their chest (not neck) so just make sure your dog doesnt pull you. But regardless, its better than a regular harness. I would DEFINATELY recommend this!",4
I was impressed this bad boy held fast for my pup...  the only thing I suggest is to carry a short bar for leverage in case you encounter hard dirt! Just put it through the triangular handle and use it to rotate this bad boy into the hard pack!  Booya!  -Brusimm,5
"I'm a bit disappointed in this toy. We have multiple others from Kong - which are always in circulation and always a huge hit. But this one has a funny ""coat"" on it. The yellow fuzz pulls away easily, and I'm just too afraid my cat will ingest it. This has remained in a drawer from the moment I opened the package.",3
Cats immediately loved this! I've bought other products from this company and the quality is always top notch.,5
"I purchased this product to get rid of the ""smell"" my little dog seems to get after a few days of playing outside.  It doesn't really deodorize anything, nor does it lather (which I was aware of) however you have to use a ton just to bathe a little 10 lb. dog!  Also, it seems to make my dog itchy.  I have determined he has sensitve skin (still searching for a shampoo to help with the itchies), this product is NOT for dogs with sensitive skin...or any dog that you want to be clean for that matter.",1
"It is much easier to clean my dogs' ears with these pads.  I will say my dogs don't like their ears clean so after they tend to get the zoomies and run around messing up all the furniture trying to ""dry"" their ears even though I dried them already.  I would have really liked if there were some tips on how to make this process more comfortable for dogs that could've come with the purchase.",4
"Nice on my cats fur and I love the ease of getting the hair/fur out of this product, too",5
"My cats use this everyday since I purchased. They love it so much, they chomp on it.",5
I am one happy mommie he loves the taste of it I have no problem giving it to him. And he get all the vitamins in it to thank you for a great product:),5
Both of my cats love it. Healthy ingredients at reasonable cost.,5
Too small,1
"I should have gotten a medium, the large is a little to big. I do love the color and the pattern.",3
I felt the product caused a reaction on the dog's paws as if it burnt them up. Now i am having to treat them with a prescription from the Vet also right after I put this on they would lick and lick and start biting there paws. I feel this did more harm them good.,1
fits great and is very well made.,5
Food made a huge improvement in all my dogs' skin and coats,5
"I decided to try the Kong inflatable Cloud collar for my dog after realizing the time that would be required for her foot wounds to heal. The standard plastic cone e-collars I had been using were helpful but more uncomfortable for her, digging into her neck when lying down. So this softer Kong collar solved that problem, while creating others.
I agree with reviewers who say this inflatable collar might not work as well for recovery of front paw wounds and incisions, or for very determined pets who obsessively lick. The collar still allows access to the pet's feet below, center front, at the closure where there is almost no padding. It could be turned to keep the widest inflated area under the pet's chin, but is easily rotated by the pet. It is best if cinched tighter to keep the neck fully protected.

My 12-pound dog was happier with the light weight of the Kong Cloud collar, but was eventually able to maneuver and bite/lick the rear leg wound (even though fully inflated). I guess without the rigidity of the plastic e-collars, there is less resistance to turning the head. Perhaps the discomfort of harder e-collars is also a good deterrent.

I recommend this Kong collar for supervised walks, mealtimes, bedtime use, overnight or when an owner will be present. It is a good alternative to the rigid plastic e-collars, but can't be relied on to protect front leg or paw wounds, as the Velcro closure space is thinner, not as inflated and might allow access to wounds. It works best with pets with smaller heads, shorter snouts, that don't extend far beyond the collar.

It might disappoint and fail to stop your pet's licking for flexible, determined pets, as happened with my dog. Consider alternating it with a more rigid cone-type e-collar to keep your pet safer.

Examples of a second rigid e-collar for back-up use with Kong's Cloud collar:
<a data-hook=""product-link-linked"" class=""a-link-normal"" href=""/Comfy-Cone-PetE-Collar-Small-Tan/dp/B002MVURV2/ref=cm_cr_arp_d_rvw_txt?ie=UTF8"">Comfy Cone PetE-Collar, Small, Tan</a>
<a data-hook=""product-link-linked"" class=""a-link-normal"" href=""/Cardinal-Laboratories-E-Collar-Large/dp/B000P0SPNE/ref=cm_cr_arp_d_rvw_txt?ie=UTF8"">Cardinal Laboratories E-Collar, Large</a>
<a data-hook=""product-link-linked"" class=""a-link-normal"" href=""/Cardinal-Laboratories-Pet-Botanics-E-Collar-XXL-Clear/dp/B000P0X9IA/ref=cm_cr_arp_d_rvw_txt?ie=UTF8"">Cardinal Laboratories Pet Botanics E-Collar, XXL, Clear</a>",4
"My Toy Poodles seem to like it, but not as their only food.  I swap it out with their favorite to offfer them some variety.",5
I use these with SoPhresh puppy pads. My dog sometimes misses the paper & these catch her mistakes.,5
Thanks so much. It works great.,5
Serves my needs. Wish it came in a 30 liner choice.,5
This is a great product. My cats love it and it gives them clean water to drink. I liked it so much that I purchased a second one for my other home.,5
Our dog loves these toys!,5
"Having 3 Standard Poodles I was getting tired of paying nearly $300 every 6 weeks to have them all groomed.  I started with my Wahl Bravura and watched lots of grooming videos on You Tube, and learned how to clip their faces, paws, etc.  Now I've worked up the courage to use these AMAZING combs.. they came free with my Bravura from Ryan's Pet Supplies last year.  I didn't have the nerve to use them for several months, until I started watching videos.  These combs are nothing short of miraculous.  SO easy to use, my dogs look like they came straight from the grooming salon after I've done them.  Be sure to wash, blow dry and brush and comb out your dogs completely before using these combs.  Honestly, my dog look as if they'd been hand scissored.  LOVE these combs.  My Standards have a LOT of thick hair, and these combs glide right through their coats.",5
"My box turtle didn't care for it.  The product was very fresh though, good meal for lizards and frogs.",3
"My dogs loved these.
I like that they're not rawhide and easily digestible.
When I got these they were a great deal.",5
best flea tic and mosquitoes  repellent i have ever used for my dogs,5
"Two paws up for this bed ! Frank loves it, as you can see. It is plenty roomy, soft and comfy. I only wish they would make one in my size !",5
"This is not really ""engraved"".",3
My dog has no complains about these treat... In fact he loves them because they are soft but chewy.,5
The cats give Greenies 5 stars and so does McMonigle's veterinary clinic! A superior product!,5
Best Purchase EVER!!!  Have a 8 week old VERY messy puppy- this has 100% taken care of the spills and food mess.  Good quality and easy to clean.  I plan on buying a larger one once my puppy grows out of it.,5
Love this stuff for my dogs.,5
"Our puppy killed it in about 15 minutes,  but that's more than the usual 2 lol",2
Great carrier for our growing cat!,5
"Was nice at first because it kept my dog from scratching at the backdoor for a couple of days. I let her out in the backyard with her sister (another dog) and if I have to go inside to do anything for even a second, she jumps up on the door (unknowingly breaking our screen door with each jump) and stays there and cries, even if she has to go to the bathroom. She'll hold it to cry. This actually worked after she stepped on the mat to cry a couple of times and realized she didn't like the feeling. So she avoided laying on the stairs/doorway and crying/jumping for a couple of days. On the second day that we had the mat down, it rained, and my husband and I tested the mat afterwards and realized it wasn't functioning anymore. We left the mat down that evening and realized that our dog still seemed to be avoiding stepping on the mat for a prolonged period of time, such as hanging out there as opposed to just stepping on it as she walks over it to get inside the door. So, we kept the mat down thinking maybe the mat (during the short time that it lasted) had conditioned her to not sit at the door scratching and crying... but unfortunately, it only took a couple of steps on it for her to realize that it didn't work anymore and before we knew it, she was laying directly on the mat crying the second we let her outside. So, this would in fact be a great product if it were able to withstand the outdoors. I'd certainly buy it again if they came up with a weatherproof / more weather resistant technology!",2
My digs loved them.,5
"Perfect fit for my 2017 Hyundai Santa Fe ultimate! Really stays in place great sturdy material, but soft enough for the dogs. Glad I purchased",5
"This collar is SO much better than ones I've  bought in the past.  Last time, I felt the one I purchased was inhumane.  This doesn't seem to scare my dog, but it does keep him from barking.  This is a great product!",5
Arrives quickly and the larger quantity lasts longer.,5
"One size is too snug the size up is too big.  It would be nice if they had more sizes.  The product itself I like, I love the color helps me see my dog at night when I let him out to potty at night time.",4
"The squeak is kind of pathetic sounding and not loud, but my dog loves to chase these.",4
Cats love this food,5
