name_title,description
London Style Collection Sleeveless Halter Tropical Surplus Maxi Dress,"Featuring a braided halter neckline and a bold floral-patterned skirt, our sleeveless tropical surplus maxi dress is perfect for your stylish wardrobe. halterneck back button closure 50"" length from shoulder lined polyester/spandex machine wash, dry flat imported"
American Rug Craftsmen Dryden Chandelier Rectangular Rug,"Highlights of brown and rust create pops of color on this ikat-inspired rug making it a beautiful addition to any room in your home. SmartStrand® fibers provide built-in stain resistance woven construction durable polyester crafted in America 0.43"" overall thickness Stain Resistant: Yes Fade Resistant: Yes Slip Resistant: No Rug Backing: Latex Fire Retardant: Yes Rug Pad Needed: Yes, rug pad is recommended to improve slip resistance and protect underlying surfaces. Use: Indoor Care Instructions: Spot clean or professionally clean. Origin: Made in America  "
Liz Claiborne® Wool-Blend Walking Coat - Tall,"With a classic, sophisticated silhouette, our wool-blend walking coat will keep you warm and comfortable every day of the week. 39½"" length from shoulder solids: wool/polyester/other fibers plaid: polyester/acrylic/other fibers/wool dry clean only                    imported"
Columbia® Three Rivers™ Fleece Jacket,"The warm fleece of our Columbia zip-front jacket keeps you cozy and comfortable during all your outdoor adventures. lightweight elastic cuffs 2 zip pockets adjustable drawcord hem 25"" length from shoulder MTR filament fleece polyester washable imported"
Skechers® Skech Air Infinity Lace-Up Womens Sneakers,"Comfortable, soft and trend-worthy, our lace-up sneakers are so light that you'll hardly notice them on.construction●    breathable textile/synthetic upper●    lightweight EVA and thermoplastic rubber outsoledetails●    lace-up closure for secure fit●    bright contrasting colors  "
Scarlett Sleeveless Metallic Blouson Sheath Dress,"The metallic blouson top gives instant appeal to our stretch-knit sheath dress. crewneck sleeveless back button top: polyester skirt: polyester/spandex hand wash, line dry imported"
INK+IVY Cornwell Chevron 3-pc. Duvet Cover Set,"This duvet cover set features an oversized chevron design in warm, inviting tones for a beautiful addition to your space. artistic chevron design solid accent color on back 3-piece sets include: duvet cover 2 shams Full/Queen sets include standard shams. King sets include king shams. Cotton duvet cover and shams. Washable. Imported. Full/Queen: duvet cover is 88x92""; shams are 26x20"" King/Cal. King: duvet cover is 104x92""; shams are 36x20"""
Zoo York® Ripstop Jogger Pants,"These Zoo York ripstop joggers give you closed-leg styling in a cotton twill that’s both comfortable and extremely durable. zip fly with button closure 2 front slant pockets 2 back welt pockets 32"" inseam closed bottom 100% cotton washable imported"
Zoo York® Jozy Short-Sleeve Graphic Tee,Represent your favorite brand in true streetwear style with our tonal logo tee from Zoo York. v-neck short sleeves cotton/polyester washable imported
Jacques Morét 2-pk. Short-Sleeve Leotard - Girls,She’ll get plenty of use from this versatile short-sleeve leotard from Jacques Moret.   nylon washable imported
Nike® Swoosh Short-Sleeve Dri-FIT Tee - Big & Tall,Just get it done next time you work out in our moisture-wicking tee. Dri-FIT moisture-wicking fabric crewneck short sleeves cotton/polyester washable imported
St. John's Bay® Molly Loafers,"You'll wear our classic loafers with hardware bar and tassel trim during the week, on the weekend—anytime you want classic style with comfort. synthetic upper ¾"" heel rubber sole"
SM Mason Strap Gladiator Sandals,"Rock the gladiator look with these sandals featuring hardware details and a slight wedge. synthetic upper back zip entry approx. 1"" wedge heel gold-tone hardware embellishments ankle strap rubber sole"
JCPenney Home™ Ultra Soft Quick-Dri Bath Rug Collection,"Step into ultra soft luxury when you add these plush rugs to your bath.   ultra-soft yarns provide cotton-like feel colorfast construction won't fade quick-drying micro nylon skid-resistant latex backing versatile styling easy-care, washable fabric coordinates with the JCPenney Home Quick-Dri Solid Bath Towels and the JCPenney Home Quick-Dri Striped Bath Towels Each rug sold separately. 100% TruSoft® nylon with foam latex backing. Washable. Made in America of imported materials.  Oblong rugs: available in 17x24"", 21x34"" or 24x40"" Contour rug (fits around toilet base): 21x24"" Standard lid cover: 18½x19"" Elongated lid cover: 18x21"""
Inspired Hearts Sleeveless Graphic Hoodie,"Update your casual wardrobe with our sleeveless hoodie, featuring a colorful graphic print for a cool athletic look. roundneck sleeveless hood with drawstring 25"" length polyester/spandex washable imported"
JCPenney Home™ Addison Blackout Grommet-Top Tailored Valance,"With an easy transitional pattern, along with a tonal pallet to match any room, this elegant tailored valance is made to block light, while giving windows a classic style.  neutral colors for easy matching 8 oil-rubbed bronze 1.5"" grommets 1"" bottom hem, 1"" side hem 50x18""L sold individually coordinating curtain panels sold separately polyester washable imported"
Silver Reflections™ 2-pr. Sterling Silver Ball & Circle Drop Earring Set,"Metal: Sterling silverDimensions: 6mm balls; .64x1.1"" drop earrings  Jewelry photos are enlarged to show detail."
Christophe Robin Regenerating Mask with Rare Prickly Pear Seed Oil,"What it is:A deeply regenerating, creamy formula that restructures, strengthens, and protects all hair types, including damaged. What it is formulated to do:This regenerative care treatment’s creamy formula penetrates completely into the hair for a profound and long-lasting effect, from roots to tips. It is enriched with pure prickly pear seed oila precious natural remedy with antioxidant and regenerative virtues. Its action is reinforced with a 100 percent natural repairing agent that restructures and strengthens hair from the inside, smoothing and enhancing its shine. These active ingredients are combined with inula flower extract to reinvigorate and protect the pigments of natural or dyed hair. The scalp is stimulated, roots are regenerated, and hair is protected from breakage and split ends for a smooth, soft, radiant finish.What it is formulated WITHOUT:- Parabens- Sulfates - PhthalatesWhat else you need to know:This product can be used with all the shampoos of the range. Suggested Usage:-After shampooing, apply a small amount, massaging thoroughly from the scalp down to the ends.-Lather the product while gradually adding water, then rinse thoroughly.Precautions:-Avoid getting the product into the eyes.Size:8.33 ozIngredients:-Pure Prickly Pear Seed Oil: Regenerates from roots to tips.-Inula Extract: Revives pigments.Water, Cetearyl Alcohol, Caprylic/Capric Triglyceride, Cetyl Alcohol, Behentrimonium Chloride, Glycerin, Cetrimonium Chloride, Inula Crithmoide Leaf/Flower Extract, Opuntia Ficus Indica Seed Oil, Behenyl/Stearyl Aminopropanediol Esters, Opuntia Ficus Indica Fruit Extract, Linoleic Acid, Linolenic Acid, Tocopheryl Acetate, Citric Acid, Parfum (Fragrance), Disodium Edta, Sodium Benzoate, Potassium Sorbate, Hydroxycitronellal, Coumarin, Limonene, Caramel, Tocopherol, Evernia Prunastri (Oakmoss) Extract, Linalool, Geraniol."
"GE Profile™ 30"" High Performance Range Hood","true This high-performance range hood features exhausts from the top or rear of the unit, giving your kitchen an efficient solution for removing smoke and odors as you accomplish your cooking tasks. vertical and rear exhaust 4-speed fan control helps eliminate smoke, grease, odors and moisture convertible venting offers vented or non-vented installation options halogen cooktop light illuminates the cooking surface 4 3/4 x 29 7/8 x 20"""
Reebok® 2-pc. Short-Sleeve Space Tee and Shorts Set - Preschool Girls 4-6x,"Featuring iridescent foil and sugar glitter graphics, this 2-piece tee and shorts set will fit into her wardrobe perfectly. includes short-sleeve tee and shorts crewneck short sleeves back mesh vent solid pull-on shorts with space dye waistband polyester/spandex washable imported"
Dickies® Skinny Straight Twill Pants,"Enjoy rugged durability in a stylish, skinny fit with these twill flex pants from Dickies.   resists wrinkles flex fabric stain release sits just below the waist multi-use cell phone pocket straight leg cotton/polyester/spandex washable imported"
Pali Rod-Pocket Sheer Panel,"Dress up your room with the eye-catching Pali sheer panel.   subtle allover geometric pattern softly filters light 3"" rod pocket Panels are sold individually. Rayon/polyester. Dry clean. Imported."
Womens Crystal-Accent White Lizard Faux Leather Cuff Bangle Watch,"Finish off your on-trend look with this cuff bangle watch, featuring crystals on the gold-tone bezel and lizard-print faux leather wrapped metal bracelet.   Dial Color: White Accent: Crystals on bezel Strap: White synthetic and metal Movement: Quartz Case Width: 22mm Case Thickness: 8mm Bracelet Dimensions: 6.5-7"" long, 9mm wide Model No.: PT1495GDWT   Jewelry photos are enlarged to show detail."
Liz Claiborne® Yumma Bow Thong Sandals,Dare to wear bold style with our adorable Liz Clairborne bow thong sandals.   polyurethane upper with bow embellishment polyurethane sole imported
Champion® Zip-Front Fleece Hoodie - Big & Tall,Warm up your casual look with this hoodie featuring the comfortable style you've come to love from Champion. hooded with drawstring zipper front kangaroo pockets polyester washable imported
Royal Velvet® Signature Soft Bath Rug Collection,"Outfit your bathroom with soft new carpet from this rug collection featuring a nonskid latex back. vibrant, lasting color—wash after wash stain resistant ultra soft coordinates with Signature Soft Solid and Damask towels Nylon. Washable. Made in America. Oblong rugs: available in 17x24”, 20x34”, 24x40"", 30x50"" and 20x60"" Contour rug (fits around toilet base): 20x24"" Standard Lid Cover: 17x19"" Elongated Lid Cover: 17x21"" Tank set: 13x27"" and 15x39"" Carpets: 60x72"" and 72x120"" Note: 60x72"" is a 5x6' carpet and 72x120"" is a 6x10' carpet. Both can be cut to fit the size of your bathroom."
Set 4 White and Wavy Silver Chargers,"These beautiful, adorned chargers are the perfect place setting for hosting dinner parties and events. solid white base with wavy silver design set of 4 glass each measures 13x13"" for decorative use only; not safe for food hand wash imported"
Burnside® Hana Hou Swim Trunks,"The floral imprints on these trunks put you in a tropical state of mind no matter where you are. waistband with drawstring mesh liner side pockets 11½"" inseam polyester washable imported "
Liz Claiborne® Long-Sleeve Kangaroo-Pocket Striped Tunic,"An overlapping v-neckline and kangaroo pocket mean our striped tunic will give you equal parts function and style. approx. 27"" - 30"" length polyester/rayon/spandex washable imported"
CLOSEOUT! Seventeen® Crystal Violet Window Treatments,"Lined window coverings coordinate with the Crystal Violet bedding collection.   solid purple satin draperies are sold as a pair and include tiebacks 72Wx15""L rod pocket pieced valance is sold individually From the Seventeen® Magazine bedding collection. Drapery dimensions reflect total width of the pair. Shirr on up to a 2½"" rod. Polyester. Dry clean. Imported."
U.S. Polo Assn.® Solid Argyle Sweater Vest,This sweater vest with tonal argyle print provides a stylish layer of warmth in fluctuating weather. regular fit v-neck long sleeves left chest logo embroidery acrylic washable imported
Stearns & Foster® R7 Adjustable Foundation,"Featuring five modular sections to give you maximum adjustability, this foundation was designed with individualized comfort in mind.   wall-gliding design allows bed to adjust without contacting the wall soothing 2-zone body massage features variable styles for relaxation amenities include LED nightlight, USB/AC ports and wireless remote Cover is polyester. Made in America. Twin XL: 38x79½x9""H Queen: 60x79½x9""H King: 38x79½x9""H (each) Cal. King: 36x83½x9""H (each)"
Designs by Adina Black Bead Woven Flapper Necklace,"Let your inner flapper take a walk on the dark side with this long, woven necklace. Mixed media black beads add subtle shimmer.   Stones: Black glass, mother-of-pearl and wood beads Material: Black cotton thread Length: 36"" Jewelry photos are enlarged to show detail. "
French Toast® Two-Tab Scooter Skirt - Girls 7-20 and Plus,"This tabbed scooter skirt is a cute and preppy alternative to the classic, pleated skirt.   2 tab details polyester twill washable imported"
St. John's Bay® Sleeveless Popover Maxi Dress - Plus,"A popover top updates this flowy 1-piece maxi dress from St. John’s Bay. scoopneck sleeveless viscose/polyester 53½"" length from shoulder machine wash, dry flat imported"
KeraCare® Essential Oils - 4 oz.,"KeraCare Essential Oils is a rich blend of high-quality natural oils that moisturize dry hair and scalp.   moisturizes & softens hair to prevent brittleness does not weigh hair down if used properly leaves hair luminous and shiny contains a rich blend of natural oils including coconut, aloe vera & olive oil can be used as a hot oil treatment How to use: For daily styling: Distribute a small amount through wet or dry hair. Massage into scalp. Comb through and style. As thermal styling aid: After drying hair, apply a small amount and style with a curling iron. As pre-conditioner/hot oil treatment: Apply liberally and leave on hair for 10-15 minutes before shampooing. JCPenney limits the sale of all salon products and salon special purchases to 8 of any one item, up to a maximum of 12 items, per customer, per month.  "
Dickies® Womens Slim Bootcut Pants - Long,These jeans provide a good looking fit with the sturdy design that you've come to expect from Dickies. slim fit bootcut flat front 4-pocket styling cotton/spandex washable imported
Cathy's Concepts Personalized 25-oz. XL Wine Glass,"Showcasing elegance and exquisite clarity, this personalized oversized wine glass is a great addition to any barware collection. can be engraved with a single block initial or a custom line (12-character maximum) 25-ounce capacity glass hand wash imported"
tarte Tartelette Amazonian Clay Matte Eyeshadow Palette,"What it is:An all-matte palette with 12 exclusive eye shadows.What it does: By popular demand, tarte is introducing an all-matte shadow palette featuring 12 never-before-seen shades to inspire, celebrate, and empower real women. As beautifully diverse as the brand’s loyal fans, this sleek, statement palette features tarte’s signature Amazonian clay-infused, long-wear eye shadows in a mix of liner, lid, and crease shadow shades. The palette also includes a step-by-step guide for creating smoldering, versatile looks that take you from daytime to playtime. This set contains:- 12 x 0.053 oz Shadows in Free Spirit (cream), Force Of Nature (nude), Dreamer (warm brown), Multi-Tasker (chocolate), Caregiver (pale pink), Natural Beauty (mauve), Best Friend (mulberry), Bombshell (dark plum), Super Mom (ivory), Wanderer (light brown), Power Player (taupe), Fashionista (black).- Step-by-step look guideWhat it is formulated WITHOUT:- Parabens- PhthalatesWhat else you need to know:This product is also formulated without mineral oil, sodium, and gluten. It is dermatologist tested.Suggested Usage:-Use your favorite shadow brush to create your own custom blended bold or more subtle looks suited for any occasion.Ingredients​-Amazonian Clay: Nature’s most perfect ingredient for better, longer, truer wear.-Vitamin E: Acts as a natural preservative and soothing emollient and antioxidant.-Mineral Pigments: Soothe and soften skin. Free Spirit: Talc, Boron Nitride, Silica, Zinc Stearate, Ethylhexyl Palmitate, Sodium Dehydroacetate, Phenoxyethanol, Sorbic Acid, Kaolin, Magnesium Aluminum Silicate, Mica, Montmorillonite, Titanium Dioxide (CI 77891), Iron Oxides (CI 77491, CI 77492, CI 77499).Dreamer: Talc, Silica, Ethylhexyl Palmitate, Boron Nitride, Zinc Stearate, Sodium Dehydroacetate, Phenoxyethanol, Sorbic Acid, Kaolin, Magnesium Aluminum Silicate, Mica, Montmorillonite. May Contain(+/-): Titanium Dioxide (CI 77891), Iron Oxides (CI 77491, CI 77492, CI 77499), Manganese Violet (CI 77742), Ultramarines (CI 77019).Force of Nature: Talc, Silica, Ethylhexyl Palmitate, Boron Nitride, Zinc Stearate, Sodium Dehydroacetate, Phenoxyethanol, Sorbic Acid, Kaolin, Magnesium Aluminum Silicate, Mica, Montmorillonite. May Contain (+/-): Titanium Dioxide (CI 77891), Iron Oxides (CI 77491, CI 77492, CI 77499), Manganese Violet (CI 77742), Ultramarines (CI 77019).Multi-tasker:Talc, Silica, Boron Nitride, Ethylhexyl Palmitate, Zinc Stearate, Sodium Dehydroacetate, Phenoxyethanol, Sorbic Acid, Kaolin, Magnesium Aluminum Silicate, Mica, Montmorillonite,Iron Oxides (CI 77491, CI 77492, CI 77499), Manganese Violet (CI 77742).Nautral Beauty:Talc, Silica, Ethylhexyl Palmitate, Boron Nitride, Zinc Stearate, Sodium Dehydroacetate, Phenoxyethanol, Sorbic Acid, Kaolin, Magnesium Aluminum Silicate, Mica, Montmorillonite. May Contain (+/-): Titanium Dioxide (CI 77891), Iron Oxides (CI 77491, CI 77492, CI 77499), Manganese Violet (CI 77742), Ultramarines (CI 77019).Best Friend: Talc, Ethylhexyl Palmitate, Silica, Boron Nitride, Zinc Stearate, Sodium Dehydroacetate, Phenoxyethanol, Sorbic Acid, Kaolin, Magnesium Aluminum Silicate, Mica, Montmorillonite, Titanium Dioxide (CI 77891), Iron Oxides (CI 77491, CI 77492, CI 77499), Manganese Violet (Ci 77742), Ultramarines (CI 77007).Bombshell: Boron Nitride, Zinc Stearate, Silica, Ethylhexyl Palmitate, Talc, Sodium Dehydroacetate, Phenoxyethanol, Sorbic Acid, Kaolin, Magnesium Aluminum Silicate, Mica, Montmorillonite, Carmine (CI 75470), Titanium Dioxide (CI 77891), Iron Oxides (CI 77491, CI 77492, CI 77499), Manganese Violet (CI 77742), Ultramarines (CI 77007).Caregiver:talc, boron nitride, silica, zinc stearate, ethylhexyl palmitate, sodium dehydroacetate, phenoxyethanol, sorbic acid, kaolin, magnesium aluminum silicate, mica, montmorillonite, carmine (CI 75470). May Contain(+/-): Titanium Dioxide (CI 77891), Ultramarines (CI 77007), Manganese Violet (CI 77742), Iron Oxides (CI 77491, CI 77492, CI 77499). Super Mom: talc, boron nitride, silica, zinc stearate, ethylhexyl palmitate, sodium dehydroacetate, phenoxyethanol, sorbic acid, kaolin, magnesium aluminum silicate, mica, montmorillonite, carmine (ci 75470). May Contain (+/-): Titanium Dioxide (CI 77891), Ultramarines (CI 77007), Manganese Violet (CI 77742), Iron Oxides (CI 77491, CI 77492, CI 77499). Wanderer:Talc, Silica, Boron Nitride, Zinc Stearate, Ethylhexyl Palmitate, Sodium Dehydroacetate, Phenoxyethanol, Sorbic Acid, Kaolin, Magnesium Aluminum Silicate, Mica, Montmorillonite, Titanium Dioxide (CI 77891), Iron Oxides (CI 77491, CI 77492, CI 77499), Manganese Violet (CI 77742).Power Player: Talc, Silica, Ethylhexyl Palmitate, Boron Nitride, Zinc Stearate, Sodium Dehydroacetate, Phenoxyethanol, Sorbic Acid, Kaolin, Magnesium Aluminum Silicate, Mica, Montmorillonite, Carmine (CI 75470), Iron Oxides (CI 77491, CI 77492, CI 77499), Manganese Violet (CI 77742).Fashionista: Talc, Boron Nitride, Silica, Ethylhexyl Palmitate, Sodium Dehydroacetate, Phenoxyethanol, Sorbic Acid, Kaolin, Zinc Stearate, Magnesium Aluminum Silicate, Montmorillonite, Mica, Iron Oxides (CI 77499)."
Lab-Created Pink Sapphire and Cubic Zirconia 4-pc. Boxed Jewelry Set,"Our beautiful boxed set of shimmery pieces includes a ring, earrings, bangle and pendant created with an illustrious combination of pink sapphires and cubic zirconia stones. Metal: Sterling silver/brass; silver plated; rhodium plated Stones: 6mm round lab-created pink sapphire stones Other Stones: 3mm round cubic zirconia stones Earring Back: Friction Bracelet Closure: Push lock Pendant Closure: Spring-ring Ring Dimensions: 1.79x2x6.82mm Bangle Dimensions: 7.5""Pendant Dimensions: 18"" chain Jewelry photos are enlarged to show detail."
US Marine Corps Cuff Links,"These cuff links feature a seal of the United States Marine Corps in full color, making them a great gift for veterans, or fans of the few and the proud.   metal with polished gold-tone finish toggle backs imported  "
Anastasia Beverly Hills Tinted Brow Gel,"What it is:A tinted brow gel.What it is formulated to do:For those with thin, sparse brows, this unique, botanical formula gives the appearance of fuller, thicker brows. The combination of cream and gel effortlessly defines and fills in the look of brows while controlling and shaping without flaking or fading.What else you need to know:The non-greasy formula can easily be removed at night with a facial cleanser or makeup remover. Housed in a sleek, portable tube that allows for precise, no-mess application, Anastasia's Tinted Brow Gel is perfect for instant brow touch-ups anyplace, anytime. It's the must-have tool for any beauty-savvy woman.Suggested Usage:-For a natural, highlighting effect, apply over brow powder or pencil.-Brow gel blends with hair color, and it can be used to touch up roots in between hair color touch ups.Size:0.32 ozIngredients​All shades contain:Water (Aqua), VP/VA Copolymer, Alcohol Denat, Propylene Glycol, Triethanolamine, Carbomer, Phenoxyethanol, Methylparaben, Propylparaben, Glycerin, Tetrasodium EDTA, Hydrolyzed Glycosaminoglycans, Chamomilla Recutita (Matricaria) Flower/Leaf Extract, Sodium Hyaluronate, Ethylparaben, Butylparaben. May Contain: (+/-) Titanium Dioxide (CI 77891), Mica (CI 77019), Iron Oxides (CI 77491, CI 77492, CI 77499), Carmine (CI 75491)."
adidas® NEO Raleigh Womens Basketball Shoes,"For a modern spin on the iconic basketball style, look no further than our NEO Raleigh basketball shoes from adidas. construction leather/synthetic upper textured rubber sole provides traction and durability details lace up padded collar and tongue for extra comfort classic basketball-inspired silhouette"
New Balance® 411 Mens Walking Shoes,"With a comfortable and athletic design, our training shoes from New Balance offer superior support and ultimate cushioning. technology CUSHNB midsole provides superior cushioning construction breathable synthetic/polyester upper rubber sole details lace up heel pillow insert offers comfort walking strike path for improved walking gait flex grooves provide improved flexibility"
London Style Collection Sleeveless Medallion Print Sheath Dress - Petite,"Add some fun to your professional style in our sleeveless print sheath dress. roundneck sleeveless back zip 35⅔"" length from shoulder polyester/spandex machine wash, line dry imported"
Tervis® 16-oz. Gerbera Daisy Insulated Tumbler,"Bright daises are in full bloom on this colorful tumbler. Pick one for yourself or a bunch for family and friends. made from extremely durable, BPA-free Tritan™ material double-wall technology reduces condensation designed to keep beverages cold or hot longer freezer safe includes travel lid 16-ounce capacity Plastic. Dishwasher safe. Made in America."
Marvel® Short-Sleeve Cute Avengers Tee,"Awww, look at those cute lil' Avengers on our comfy tee. crewneck short sleeves cotton/polyester washable imported"
Peugeot® Womens Crystal-Accent Red Leather Strap Watch 3044GRD,"Celebrate some sparkle with this watch. The perfect finishing touch, it secures comfortably to your wrist with a bold leather strap.   Brand: Peugeot Dial Color: Champagne and mother-of pearl Accents: Crystals on bezel Strap: Red leather Movement: Quartz Water Resistance: 50m Bracelet Dimensions: 8"" long; 18mm wide Model No.: 3044GRD   Jewelry photos are enlarged to show detail."
Liz Claiborne® City-Fit Skinny Boyfriend Ankle Pants,"Our city-fit skinny boyfriend ankle pants are the perfect pick from work to weekend. city fit skinny leg misses: 30"" inseam petite: 28"" inseam cotton/rayon/spandex washable imported"
JCPenney Home™ McKenzie Washable Octagonal Rug,"Our McKenzie rugs offer many size and color options to add vibrant hues and style to any room of your home.   solid color center framed by tufted borders in gradating tones ideal for high-traffic areas special dye-injected process assures lasting, vibrant colors cut-and-loop pile for appealing textural interest taped edges for durability machine-tufted construction highly durable nylon crafted in America 5/16"" to 13/16"" pile height range; 5/8"" overall thickness measures 5x5' Stain Resistant: NoFade Resistant: YesSlip Resistant: YesRug Backing: LatexFire Retardant: NoRug Pad Recommended: No, the latex backing provides slip resistance and protection for underlying floors.Use: IndoorCare Instructions: Washable. Larger rugs require the use of commercial washers and dryers.Origin: Made in America "
Glamorise® Double Layer Custom Control Sports Bra - 1166,"Comfort you can count on for your active lifestyle starts with this high performance sports bra. motion control front panel adjusts for all activity levels wide padded shoulder straps reduce strain quick dry inner cups wick away moisture and reduce chafing Magic Lift inner bands criss-cross design is wirefree and provides superior lift, separation and support exclusive two-way stretch back moves with you and prevents ride-up motion control front panel adjusts for all level of activity high performance fabrics with breathable mesh keep the body cool polyester/nylon/elastane machine wash, line dry imported manufacturer's style #1166"
Safavieh® Iris Wool Round Rug,"Our plush wool rug is crafted with a timeless motif for today's homes, with soft tones that complement almost any environment. elegant transitional geometric pattern hand tufted 100% wool pile 0.45"" pile height, 0.45"" overall thickness crafted in India Stain Resistant: NoFade Resistant: NoSlip Resistant: NoRug Backing: CottonFire Retardant: NoRug Pad Recommended: Yes. Rug pad is recommended to improve slip resistance and protect underlying surfaces.Use: IndoorCare Instructions: Vacuum regularly and spot clean. Professionally clean for hard-to-remove stains. Rotating your rug every 3-3 months will protect against uneven wear.Origin: ImportedIt's perfectly normal for new wool rugs to shed. This happens as a result of loose fibers created during the weaving process. Regular vacuuming 2-3 times a week will help keep"
Fila® Poseidon Girls Running Shoes - Little Kids/Big Kids,A breathable mesh upper and a minimal rubber outsole with a multi-tread design for traction make Poseidon the perfect running shoes for beginners. construction leather/synthetic/mesh upper rubber sole details breathable mesh upper with durable leather and synthetic overlays for structure EVA-injected midsole provides lightweight cushioning Minimal rubber outsole with multi-tread design provides traction
a.n.a® Sleeveless Handkerchief-Hem Maxi Dress,"Give casual a feminine slant in our pretty handkerchief-hem maxi dress. v-neck sleeveless approx. 36⅞"" length from shoulder lined bodice only rayon washable imported"
Arizona Graphic Tee - Boys 8-20 and Husky,"An edgy print on cotton-rich fabric will make this soft, durable tee a casual day favorite. crewneck short sleeves cotton/polyester washable imported  "
Jockey® Matte Silky Fleece Pajama Pants,"Soft to the touch with a relaxed fit you’ll love, these matte silky fleece pajama pants provide luxurious warmth and comfort night after night. elastic waist with drawstring inseam pockets polyester washable imported"
adidas® 3G Speed Shorts,"If total comfort and mobility are your must-haves, go for these fuss-free, perfect-fitting shorts from adidas.   11"" inseam sits at/below knee polyester washable imported"
Haggar® Work to Weekend® Classic-Fit Pleated Pants,"Men's Haggar Work-to-Weekend no-iron pants with a pleated front and expandable waist that expands up to 3"" deliver a comfortable, finished look all day, every day.      classic fit sits on waist standard rise pleated front relaxed leg the most room through the seat and thigh wrinkle-resistant, no-iron fabric hidden expandable waistband expands up to 3"" for maximum comfort button-through back pockets tapered legs cotton washable imported"
Liz Claiborne® Curvy Elizabeth Secretly Slender™ Bootcut Leg Pants,"Visually lengthen the look of your legs in our curvy-fit, bootcut pants, which sit at your waist and are comfortably fitted through the hip and thigh.   flat front zip fly with hook-and-bar closure 1 front welt pocket 2 back welt pockets with button closure polyester/rayon/spandex washable imported misses: 32"" inseam misses short: 30"" inseam misses long: 34"" inseam"
