SqFtLiving1e3,SqFtLot1e3,NumBedrooms,SalePrice1e5
2.27,5.261,3,4.95683
1.08,8.741,3,3.63107
1.79,4.76,3,8.66623
1.33,1.973,2,4.60286
1.28,4.0,2,5.4416
1.36,7.2,3,4.42065
3.19,6.624,4,8.57022
1.6,1.144,3,3.96028
2.34,4.8,3,8.14289
2.99,5.5,5,7.54746
0.79,6.825,2,3.22849
2.76,7.321,4,5.58688
1.54,3.86,3,5.83839
1.88,8.0,5,3.01716
2.17,4.0,4,3.58502
1.54,5.04,3,6.70032
1.99,9.594,3,5.34695
1.91,7.21,4,3.7141
1.92,7.7,3,3.27332
1.72,7.21,4,3.81934
2.94,9.793,5,5.75923
0.97,5.0,3,2.93809
1.95,9.6,3,2.50576
1.21,1.311,2,3.74798
1.46,8.29,3,4.46146
1.09,3.272,2,2.99679
1.37,2.511,3,1.9791
2.57,6.065,5,5.55153
1.23,9.636,3,2.72127
2.12,4.31,3,5.42067
0.96,2.108,2,3.04099
1.15,7.56,3,4.22711
1.37,1.339,3,4.38662
0.89,5.2,3,3.62848
2.63,7.904,3,5.67103
1.34,7.0,4,3.91093
1.22,7.425,3,4.38933
2.78,6.3,4,13.13811
2.5,4.513,3,3.98315
2.03,3.8,4,4.93867
2.16,6.96,4,3.71325
2.42,8.186,3,6.94292
1.83,3.978,3,4.64957
1.21,5.202,3,3.72635
1.4,1.65,2,3.56117
1.81,4.34,3,7.13193
3.42,8.0,5,16.51169
1.92,2.127,3,3.74798
3.24,2.604,7,7.62341
2.03,6.666,3,3.11006
1.42,3.75,3,4.80795
0.66,4.0,2,1.84397
1.26,8.25,3,4.2041
1.92,3.741,3,5.70772
1.93,7.245,4,5.95785
1.33,6.301,3,2.96289
1.79,6.371,3,2.94464
0.93,5.15,2,4.03576
1.05,1.4,2,2.89399
1.73,7.694,3,3.49346
2.13,9.8,4,4.28615
2.06,5.95,4,4.00921
2.61,7.724,4,5.05541
1.2,8.25,3,3.49476
2.47,6.116,4,3.85662
1.29,1.23,3,6.91331
1.29,7.48,3,4.32995
2.835,5.11,5,7.25695
1.17,5.0,2,4.16705
1.35,8.25,3,4.73322
1.64,6.63,2,3.53216
3.49,6.565,4,8.43907
0.88,1.157,2,2.50166
2.07,7.0,5,2.51154
1.67,5.146,3,5.23051
2.22,4.0,3,6.64662
1.24,1.264,2,3.11011
2.62,4.954,6,4.2451
3.0,5.75,3,10.60875
3.6,5.04,4,9.41298
3.03,7.324,3,7.41476
1.18,4.08,3,4.79954
2.33,6.25,4,3.47899
1.28,0.974,3,3.16267
1.5,7.931,3,4.26667
2.96,5.713,4,8.78256
1.49,7.68,3,4.6416
2.79,8.078,4,5.17889
1.45,1.245,3,4.44241
2.81,6.9,4,10.48422
1.46,2.61,3,4.41786
3.4,5.1,4,6.38736
1.96,4.64,4,8.01178
1.41,5.159,3,3.46843
3.24,5.3,5,7.21648
1.02,4.2,2,5.69705
1.18,4.72,2,3.00364
1.61,5.1,3,5.57413
3.31,6.619,4,6.56483
0.74,7.68,2,4.28706
1.59,7.5,5,3.42855
1.49,7.3,4,3.66184
0.87,6.807,3,3.34245
1.84,8.438,3,5.16569
1.83,9.095,4,4.93915
2.56,2.531,4,11.10204
3.5,5.95,4,11.2257
2.13,7.912,4,9.5948
1.92,7.986,4,5.10863
1.86,3.6,4,7.01754
1.79,0.978,3,5.57954
1.97,8.925,5,2.7637
2.46,4.275,4,4.70769
1.78,4.4,4,3.80403
1.94,4.475,3,5.71609
1.81,4.871,4,3.2547
1.0,6.914,3,3.76657
3.039,5.456,3,12.5914
2.89,6.825,4,5.75783
2.27,7.627,4,5.27976
2.69,4.59,4,8.00069
1.29,5.6,3,3.08772
1.34,8.4,4,2.86077
3.25,4.977,4,6.9833
1.81,8.126,3,6.00828
0.85,6.551,2,2.89456
3.37,8.675,5,9.22061
2.22,7.064,4,5.47039
2.089,5.082,2,5.57023
2.34,7.2,4,4.64287
2.85,3.601,3,12.24739
2.24,5.6,4,5.62961
1.35,4.319,2,4.39243
1.42,9.874,3,2.53846
2.39,9.802,4,4.80685
1.02,4.07,3,4.10959
2.33,3.3,3,6.8934
2.2,3.141,3,8.75721
3.3,8.286,4,4.34331
2.6,8.8,5,6.27692
2.14,3.762,5,4.51988
3.68,4.802,5,8.59299
2.04,4.32,2,6.58473
4.1,9.63,5,9.92192
1.03,6.809,3,3.63254
2.79,7.084,4,6.65897
2.71,6.399,4,6.66586
0.83,2.291,2,2.43159
2.95,3.417,4,6.50569
2.06,5.0,4,7.0258
1.82,5.5,3,7.42552
2.41,3.06,4,7.45615
0.91,3.263,2,2.39001
2.08,6.12,3,5.98194
3.43,6.6,4,16.61838
1.55,9.0,3,2.50259
1.52,7.481,3,3.49161
1.3,8.48,3,4.17525
1.27,1.241,2,3.71908
1.16,1.037,2,2.62185
1.05,3.088,2,3.70779
2.89,7.821,4,9.82779
1.9,8.141,4,4.96945
1.97,5.454,3,4.48792
2.43,2.4,5,6.4012
1.8,3.454,4,3.66218
1.7,4.0,3,5.60376
2.11,6.9,3,3.42292
2.6,9.0,4,2.9301
1.51,1.443,3,4.40285
0.87,4.223,2,3.62288
2.68,8.625,3,6.69631
2.09,8.428,3,4.44209
2.09,3.915,3,6.42644
1.46,4.2,2,4.50571
1.72,2.752,2,4.00255
1.42,8.384,4,3.50352
0.98,1.151,2,3.5307
3.26,7.969,5,3.47228
2.3,6.542,4,6.4
1.85,4.0,4,6.82774
0.72,9.0,2,3.84551
2.99,8.622,4,6.70876
0.74,6.84,2,1.25459
1.3,6.617,2,3.25011
1.66,7.74,3,4.11148
3.08,7.296,3,9.01687
1.7,8.645,4,3.27332
1.9,5.47,5,3.97495
1.16,6.871,2,3.59731
2.51,4.14,4,6.94125
3.02,4.56,4,10.1221
1.7,5.29,4,5.98194
2.41,8.415,4,3.83733
1.62,3.88,2,4.80103
2.11,4.109,4,5.97773
1.56,4.141,2,5.43185
1.79,2.375,3,2.86265
2.76,4.232,4,10.75513
1.15,7.984,3,3.48005
2.37,9.041,3,4.04513
1.57,2.912,2,4.45741
2.16,5.89,2,7.89805
2.03,4.499,4,4.37603
1.41,1.221,3,3.91916
3.655,8.706,4,9.60706
1.04,7.681,2,3.46135
1.33,4.674,3,4.10105
2.07,4.6,3,5.02857
1.37,5.211,3,3.27427
1.42,1.285,3,3.5894
1.32,1.163,3,5.01472
1.21,1.02,3,3.42355
1.3,9.955,3,3.16941
2.04,7.38,4,6.07793
2.74,4.0,4,10.90935
0.97,5.0,2,2.62897
1.44,4.0,2,4.13104
1.05,3.2,2,5.84979
1.61,5.495,3,3.54815
2.06,7.7,3,2.04426
1.52,3.737,3,5.0674
1.2,8.168,3,5.14846
1.42,1.47,3,4.64798
2.41,3.64,2,6.07973
2.8,4.201,3,7.45208
1.47,8.917,3,2.72081
1.29,7.554,3,3.37915
1.92,4.8,4,3.75822
3.03,5.001,4,7.01754
1.745,5.1,4,4.751
1.29,7.592,3,2.64656
1.54,9.1,3,4.37998
1.04,8.1,3,2.7033
1.98,3.3,4,9.19637
1.01,1.968,2,3.98798
1.21,7.667,2,5.22401
2.18,9.35,4,4.55208
3.29,7.475,4,8.15388
1.2,8.04,3,3.43744
1.34,7.725,3,4.01134
3.34,8.0,4,3.74232
1.04,4.8,2,3.50202
1.53,1.374,3,3.30489
1.14,6.7,3,2.0431
1.32,2.609,2,4.51811
2.42,4.8,4,7.36693
2.9,5.901,5,7.48812
1.49,1.036,3,6.33605
3.77,4.589,4,7.81216
2.66,4.0,4,9.19943
1.08,6.856,2,3.81316
2.96,5.0,5,4.44804
1.53,7.906,3,3.68397
1.54,3.6,3,9.08002
2.23,6.12,3,9.53461
3.57,8.82,4,6.85896
1.47,5.217,3,4.33327
2.3,4.637,3,5.37965
1.82,8.25,3,3.09789
1.24,3.867,4,4.0757
1.02,3.06,1,4.37682
2.41,9.916,3,8.21744
1.99,8.19,5,4.73383
1.59,4.746,3,4.21561
3.11,9.015,3,5.33303
2.85,5.011,4,6.61536
1.04,8.41,3,1.10022
3.13,3.9,4,10.61463
1.55,3.09,4,3.28243
1.3,4.283,3,3.77576
1.22,9.147,4,3.14754
2.07,8.658,4,4.6006
3.08,6.139,4,7.68
2.71,4.8,3,15.20244
1.64,7.847,3,4.58384
1.36,5.3,2,6.49055
1.02,8.207,2,3.63094
1.358,1.2,3,4.02258
2.85,4.497,4,7.29907
2.11,4.109,4,6.85589
2.26,5.656,3,4.38493
1.18,2.228,4,4.67524
0.96,4.455,2,4.44543
2.24,7.772,4,4.69215
2.56,4.218,4,3.85303
2.56,4.8,3,6.44621
1.3,8.197,3,3.52696
1.37,7.7,4,7.91023
1.09,5.65,2,3.1287
1.06,1.241,2,3.52518
0.92,7.276,3,2.27672
2.17,5.4,3,6.15337
0.99,3.06,2,3.04972
1.51,4.269,1,2.24962
1.21,7.733,3,3.4623
2.3,5.0,3,5.09873
2.34,3.449,3,4.06096
2.81,5.681,4,5.55153
1.81,7.8,4,4.21856
3.7,5.8,3,15.40218
0.89,2.568,2,5.03607
2.31,9.624,3,5.46607
1.13,7.0,3,3.99837
2.44,4.587,3,7.2575
3.12,9.587,3,6.34882
1.65,2.98,4,4.57741
1.54,9.552,3,3.60342
1.84,4.08,3,8.76242
0.91,5.0,2,4.57369
2.55,4.547,4,4.36609
1.98,7.2,3,6.16999
2.12,5.242,3,6.27105
1.34,1.339,3,3.73692
1.77,8.4,4,4.77899
3.43,7.898,5,6.34957
1.53,1.462,3,5.28046
2.1,9.0,3,5.65669
1.71,7.399,3,3.56721
1.94,7.643,3,6.10457
1.88,3.022,4,6.06595
0.84,8.47,3,2.50733
3.05,7.206,3,7.58743
2.1,3.264,3,5.70061
1.31,1.238,2,4.81378
2.43,9.6,3,6.10388
1.1,1.159,2,4.38515
3.92,8.572,5,8.09018
1.34,9.352,3,3.47996
4.2,9.963,7,5.21504
2.02,5.376,3,4.00241
1.92,3.919,2,3.80952
2.44,7.0,5,4.15439
1.86,3.4,2,5.89281
1.56,8.7,3,7.12145
1.74,8.4,4,6.54853
2.7,9.994,3,4.6466
0.96,4.55,3,2.69041
1.46,9.1,3,7.05313
3.26,4.8,5,9.26563
1.98,4.5,3,3.81669
3.59,6.655,4,9.0728
1.28,5.0,4,2.90887
1.2,8.1,3,4.04202
1.3,7.688,3,3.49795
2.65,8.149,4,6.39314
4.09,8.969,4,6.16722
1.14,3.834,2,4.23449
1.33,1.188,3,4.41027
1.15,8.607,3,2.56391
1.42,4.954,3,6.66135
1.4,9.75,3,3.11074
2.98,5.866,4,3.44787
1.33,1.965,3,3.20687
2.65,9.627,4,5.47102
1.96,4.0,3,7.88103
2.35,7.2,3,6.44592
1.437,3.002,4,3.91529
2.58,5.008,5,5.22401
3.68,7.236,4,6.62392
0.75,2.964,2,2.13974
1.7,9.145,3,5.84885
3.99,7.0,4,9.14684
2.04,7.21,4,4.58448
1.4,9.296,3,3.93288
1.56,2.937,3,3.7639
0.82,7.2,2,3.03507
2.82,4.427,4,8.53944
2.09,3.915,3,6.52241
1.37,3.393,3,5.10542
0.8,3.06,3,3.90538
1.6,9.624,4,3.34769
0.8,5.75,2,3.56703
1.04,5.097,3,4.99393
2.6,7.949,4,5.40743
1.22,9.1,4,2.62706
2.92,7.432,6,3.97438
0.83,4.5,3,2.57882
2.57,7.173,4,6.60403
1.83,6.269,4,3.84845
1.45,5.32,4,8.42853
2.65,3.6,4,5.038
2.08,8.499,3,5.1112
1.62,3.834,2,5.02166
1.88,7.0,3,5.50659
2.26,4.203,4,3.84831
2.14,8.816,3,6.13799
2.22,8.125,4,5.43534
2.24,6.0,3,3.54075
0.93,7.742,2,2.7538
3.28,7.422,4,9.65576
0.86,9.403,3,4.07759
1.21,1.267,2,4.00502
2.08,4.295,3,6.65897
1.01,9.692,3,3.12294
1.34,1.286,2,4.61858
1.53,9.984,4,3.61967
1.33,8.748,3,2.8593
2.17,3.567,3,5.92706
0.95,3.008,2,4.07906
1.85,3.901,3,5.41244
1.42,3.84,3,4.23111
1.4,2.958,2,3.81869
1.38,1.464,3,3.76506
1.83,4.08,4,5.3923
2.04,2.157,3,5.05386
2.31,7.039,3,5.07531
0.93,6.098,2,3.85868
0.96,7.35,3,1.38342
1.45,8.462,3,3.4254
1.57,2.88,3,5.28036
2.54,6.988,3,7.65363
2.22,6.02,4,4.42171
2.98,2.147,4,6.86665
1.61,3.5,2,5.36182
