SqFtTotLiving,SqFtLot,Bathrooms,Bedrooms,BldgGrade,AdjSalePrice
1570,9904,2.25,2,7,348816.0
2120,7201,2.5,5,7,101306.0
2110,7561,2.5,5,7,101306.0
1400,10101,2.0,4,6,236359.0
780,9750,1.0,2,6,152044.0
1620,5031,2.5,3,7,381476.0
1620,5992,2.5,3,7,369187.0
1980,4643,2.25,3,7,427214.0
1980,4643,2.25,3,7,423390.0
1960,4354,2.25,3,7,400294.0
1510,3577,2.25,3,7,395083.0
920,33300,1.0,2,7,502465.0
2680,7727,2.5,3,9,584979.0
2570,5267,2.5,4,9,557591.0
1410,9584,1.0,3,7,362107.0
3930,44083,4.5,7,10,658562.0
1560,8456,1.75,3,7,449611.0
2800,21370,2.5,4,8,601441.0
1090,10296,1.0,3,6,309377.0
1210,13167,1.0,2,6,352067.0
1040,15000,0.75,3,6,302417.0
1170,9848,1.5,3,7,253082.0
1360,9695,1.75,3,7,238190.0
1960,3565,4.25,4,7,601304.0
2160,5750,1.75,3,7,659699.0
2160,5750,1.75,3,7,660497.0
2880,435191,3.0,4,9,802133.0
1200,58411,1.75,3,7,291312.0
2750,18910,2.5,5,8,455815.0
1200,43560,1.0,4,6,277024.0
2500,35245,2.75,3,7,460754.0
910,5000,1.0,2,7,421647.0
1190,5000,2.0,2,7,472670.0
660,4000,1.0,2,5,184397.0
1260,4196,1.0,3,7,338759.0
1200,6800,1.75,3,7,298752.0
1240,29228,1.0,2,6,351845.0
620,8261,1.0,2,5,160944.0
970,13700,1.0,2,7,369046.0
840,7874,1.0,2,6,288445.0
1300,7200,1.0,3,7,338131.0
2110,14000,2.0,5,6,421954.0
1570,10000,2.0,5,6,311431.0
2620,8803,2.75,5,8,470856.0
1310,21534,1.5,3,7,454223.0
2280,4320,2.5,4,7,110965.0
2190,220414,2.25,3,7,449611.0
2600,51836,2.5,4,8,555489.0
2500,43560,2.75,4,8,520193.0
1800,13187,2.5,3,9,686003.0
3370,9411,2.25,4,10,1363472.0
1230,2726,1.0,2,7,579141.0
1550,3680,1.75,3,7,485053.0
1420,3750,1.0,3,7,651746.0
1240,4000,1.0,3,7,492677.0
5150,963702,3.75,4,11,2348082.0
4700,8212,4.75,7,8,583657.0
2130,9800,2.5,4,7,428615.0
1840,11367,1.5,4,7,451988.0
2060,10911,1.75,5,7,415956.0
2020,10200,1.0,5,8,400452.0
860,9306,1.0,2,6,280645.0
2100,9004,3.0,4,7,398180.0
1830,8800,2.25,3,8,439830.0
1170,30964,1.0,3,7,452078.0
1830,27468,1.75,3,7,418156.0
2510,31500,2.75,4,8,911681.0
2300,14928,2.75,4,7,404211.0
1720,10400,2.5,3,8,393905.0
1530,10731,1.75,3,7,386890.0
1880,45738,1.75,3,8,553124.0
2450,52648,3.0,4,8,686149.0
1130,6500,1.0,3,6,382038.0
2180,4500,2.75,4,7,301716.0
1570,4774,2.5,3,7,297944.0
2020,5000,2.5,4,7,286726.0
1110,8000,2.0,2,7,317267.0
1620,9450,2.25,3,7,288176.0
1690,14746,1.0,2,6,314434.0
2450,7667,4.0,4,7,235345.0
1540,2775,1.0,2,6,366972.0
2000,2500,2.5,2,8,644400.0
1970,6000,1.75,3,8,616996.0
1970,6000,1.75,3,8,671990.0
1680,6435,2.0,4,6,826554.0
2100,4440,2.5,3,7,809863.0
2600,6050,2.75,4,8,782239.0
2620,4844,1.5,3,8,662588.0
3090,8239,3.75,4,9,914738.0
2440,7042,2.75,4,7,813115.0
2790,4296,2.5,3,9,899900.0
2580,7900,3.0,3,9,754264.0
2340,4800,2.75,3,8,814289.0
3070,4440,3.5,4,9,1034548.0
2110,4718,2.75,3,7,903860.0
2380,1838,3.25,3,10,1098056.0
2970,13345,3.5,4,10,1239648.0
2850,4497,2.0,4,7,729907.0
3020,9244,3.25,4,10,843823.0
1700,6342,1.75,3,6,364001.0
1240,10500,1.0,2,7,420152.0
2780,7875,3.25,4,9,314754.0
2780,7875,3.25,4,9,760048.0
980,7228,1.0,3,7,352259.0
1440,7980,2.5,3,7,449620.0
2080,7350,2.25,3,7,523492.0
860,9167,1.0,1,6,451988.0
2950,4382,3.25,4,9,856462.0
1370,1363,2.25,3,8,359669.0
2620,7632,2.5,3,9,730754.0
1240,9375,1.5,3,7,330964.0
1570,8304,1.0,4,7,346922.0
1190,3000,2.5,3,7,337090.0
840,3000,1.0,3,5,156905.0
2640,7000,3.0,5,7,289603.0
2520,4500,2.5,3,8,384584.0
2480,4500,2.5,4,8,400414.0
1810,17700,1.0,3,6,296414.0
1880,7500,2.0,4,6,301575.0
1880,7500,2.0,4,6,220776.0
2330,7043,2.5,3,8,571604.0
2600,9525,2.5,4,8,954916.0
2250,10160,2.5,4,9,952747.0
2790,10125,3.5,4,8,881341.0
2790,10125,3.5,4,8,843908.0
1920,9525,2.25,5,8,669774.0
2910,9525,2.75,4,8,864609.0
2910,10125,2.75,4,8,938451.0
3160,9525,3.75,4,10,1251497.0
3160,9525,3.75,4,10,1438271.0
1910,9525,2.75,3,7,733599.0
3570,9525,3.5,4,10,1644242.0
2250,9525,2.25,4,8,866095.0
2160,11430,2.5,3,8,1113360.0
1510,14276,0.75,4,8,456064.0
1140,20383,1.5,3,7,355732.0
1100,15258,1.5,3,7,345795.0
1960,15200,1.0,3,7,412209.0
1140,18678,1.0,3,7,362583.0
1738,2796,2.5,4,7,269294.0
1430,15611,1.5,3,6,282402.0
2070,25710,2.5,3,6,193910.0
1240,10887,1.75,3,6,298976.0
1240,10956,1.75,3,6,292443.0
1470,9680,1.75,3,8,283279.0
1170,8740,1.75,3,7,432497.0
2710,3245,2.5,4,8,681736.0
1580,5750,1.75,3,7,498001.0
970,3393,1.0,2,6,487051.0
2370,5850,2.75,4,7,633957.0
1940,6440,2.0,3,7,608073.0
1340,5800,1.0,4,7,491066.0
2240,5850,2.25,5,8,800589.0
1390,4292,1.0,2,6,387464.0
2170,7202,2.5,4,8,518725.0
2930,5569,2.75,3,9,575794.0
2930,5569,2.75,3,9,622097.0
1930,6346,2.5,3,9,568598.0
2340,8111,2.5,3,9,602770.0
2320,12627,2.0,3,9,795763.0
2360,7440,2.5,4,9,578577.0
2050,9586,2.25,4,8,604883.0
1960,8469,2.5,3,8,544310.0
1640,10377,2.25,3,7,613412.0
2390,10700,2.5,3,7,785965.0
1900,11216,2.5,3,10,1109947.0
1660,18009,1.75,3,7,453333.0
2780,20794,2.75,4,7,493922.0
1640,17335,1.0,2,7,390687.0
1640,17335,1.0,2,7,353114.0
3270,21270,2.5,4,9,744581.0
2440,47916,2.25,3,8,555778.0
2439,23435,2.5,3,8,573918.0
1540,54450,2.0,2,7,169558.0
2190,38307,2.5,3,9,620120.0
2150,31238,2.75,3,9,688569.0
2650,47081,2.5,4,9,584813.0
3130,40105,2.5,4,9,723324.0
2970,31774,3.0,4,9,701698.0
3060,43703,3.5,5,9,644819.0
2690,32780,2.5,4,9,647619.0
2840,34203,2.5,4,9,762506.0
2770,63118,2.5,4,9,742449.0
2120,15297,2.5,3,7,482111.0
1130,9879,2.0,3,6,378340.0
1130,9879,2.0,3,6,323015.0
1680,8946,2.0,3,6,382726.0
2450,55387,2.5,4,9,552495.0
1930,24904,2.5,3,9,619390.0
2980,24703,2.5,4,9,743638.0
2330,33881,2.5,3,9,660591.0
2320,32772,2.5,3,9,668396.0
2470,33305,2.5,4,9,668491.0
2470,33305,2.5,4,9,687288.0
2650,21546,2.5,3,9,612857.0
2930,42060,2.5,3,9,793967.0
2290,62290,2.5,3,9,728055.0
3410,6006,3.25,3,10,1707922.0
2260,4087,2.75,4,8,517412.0
2430,6099,2.5,4,8,645697.0
1590,8546,1.75,3,8,400095.0
2180,8250,2.5,4,7,486125.0
1610,9600,1.75,3,8,415956.0
1610,9600,1.75,3,8,453333.0
2480,7480,2.0,3,8,1027521.0
2488,31500,2.0,3,8,236829.0
2120,22482,2.5,3,7,361449.0
2400,15069,2.5,4,8,434531.0
2030,99316,1.75,3,7,555882.0
3560,102366,3.5,4,9,806156.0
1920,207781,1.5,3,7,496387.0
1090,409464,1.5,3,6,536232.0
2250,60548,3.25,3,9,689067.0
1880,40755,1.0,3,7,261608.0
2680,28525,1.75,3,8,1762555.0
3780,5026,3.5,4,9,889437.0
2180,5238,2.25,4,7,547585.0
2040,9478,2.5,4,7,432355.0
1976,11504,2.0,4,7,460501.0
1380,7182,1.0,3,7,381265.0
1420,5000,2.0,4,7,283182.0
1450,8040,1.75,3,7,127077.0
1400,10614,2.75,3,7,439042.0
2140,6490,2.75,4,8,401595.0
4940,43560,4.25,4,10,1051834.0
1860,42800,2.0,3,7,551521.0
1530,6450,1.0,2,7,645697.0
720,4000,1.0,2,6,391801.0
1280,5018,1.75,2,7,541168.0
1850,6450,2.5,4,8,743754.0
2450,4591,3.0,5,7,447365.0
4410,70844,3.5,4,10,1212886.0
960,7104,1.5,3,7,422598.0
3370,10973,3.5,4,8,572208.0
2610,11287,2.0,5,8,521793.0
2560,10464,1.75,3,8,561731.0
2420,10500,1.75,4,8,511857.0
2630,7140,2.5,4,8,791769.0
3210,8520,3.75,4,7,643754.0
1630,7906,2.0,3,7,412863.0
2680,8363,2.5,3,9,688960.0
2980,7630,2.5,3,9,785596.0
960,6377,1.0,2,7,285255.0
2100,24583,2.5,3,8,487712.0
3140,74052,3.0,3,8,835094.0
1820,77972,3.0,4,8,559874.0
2870,36649,3.25,4,9,749351.0
3650,23659,2.5,4,10,932334.0
3490,16028,3.0,4,10,626275.0
2900,5336,1.75,5,8,402750.0
1290,8800,1.5,3,7,297051.0
1650,8850,1.75,3,7,325105.0
2890,21780,2.5,3,8,510570.0
1514,16475,1.5,1,6,302757.0
4060,10800,4.5,4,10,751703.0
1520,7350,1.75,4,7,311554.0
2120,9842,1.75,4,7,391691.0
2740,5400,2.5,5,8,383590.0
2580,5460,2.5,4,8,450018.0
2510,8775,1.75,4,7,421714.0
1560,8450,1.75,4,7,335738.0
2080,7800,1.75,3,7,444749.0
2310,7589,2.5,3,9,846026.0
1300,8400,1.0,4,7,704518.0
3750,8266,3.75,5,10,603271.0
1140,9137,1.0,2,7,711901.0
2780,8913,2.75,5,8,1110977.0
4990,10196,3.75,4,11,635174.0
1100,8724,1.0,2,7,703232.0
2350,10352,1.75,5,7,754973.0
1890,11391,2.0,4,7,492781.0
1980,8260,2.25,3,7,825671.0
1350,9293,1.75,4,7,598231.0
1350,9293,1.75,4,7,751727.0
2490,41159,2.0,4,7,747827.0
2340,7254,2.5,4,8,501787.0
2950,8440,2.5,4,8,398230.0
2510,12013,2.25,3,8,416306.0
2510,12013,2.25,3,8,243582.0
2070,7800,2.5,4,8,398689.0
3080,19934,3.0,4,10,1306054.0
2710,20185,2.75,4,9,1811231.0
6080,20168,5.0,5,12,3100598.0
1920,18928,1.5,3,7,368346.0
2470,12994,3.25,4,8,443563.0
2450,17400,2.25,3,8,486914.0
1530,10350,2.5,4,7,298954.0
1860,4025,2.5,4,7,416358.0
1860,3914,2.5,3,7,419295.0
1880,6032,1.75,3,6,396235.0
2870,5453,2.25,4,8,700709.0
2870,5453,2.25,4,8,600347.0
1770,6293,2.0,2,6,437655.0
2510,5297,2.5,4,9,382427.0
2940,5054,4.75,6,7,634645.0
2380,6026,1.75,3,7,491871.0
1990,12866,2.5,3,7,494261.0
1850,7154,2.25,3,7,475290.0
2210,3600,2.5,4,7,358719.0
1990,3644,2.5,3,7,368592.0
3840,7748,3.25,4,9,878929.0
3750,9437,2.75,3,9,883516.0
3360,7061,2.75,4,9,581968.0
3340,8213,2.75,4,9,547193.0
2830,9972,2.5,3,9,580171.0
4040,8653,2.5,3,9,552480.0
4040,8653,2.5,3,9,617348.0
3440,9443,2.5,4,9,527135.0
2090,3002,3.25,4,7,402294.0
2100,3574,2.5,3,7,380556.0
1570,2577,2.5,3,7,323495.0
1140,7078,1.75,3,6,280535.0
2120,31564,1.0,3,7,382257.0
2120,31564,1.0,3,7,210547.0
1420,24690,1.75,3,6,244183.0
2480,9699,2.75,9,6,442754.0
1820,8422,1.5,3,7,253809.0
1760,9727,1.75,3,6,291373.0
1130,13927,0.75,3,6,241108.0
2090,8428,2.5,3,8,444209.0
2240,8200,2.5,4,8,608179.0
2220,7700,2.25,4,8,407936.0
1250,9605,1.75,3,7,458817.0
2720,9605,2.75,4,7,625404.0
2330,9605,2.0,6,7,567608.0
1460,7210,2.5,3,7,272694.0
1250,7210,1.0,3,7,361444.0
1460,8075,1.75,3,7,458635.0
1470,10291,2.0,4,7,443928.0
1220,7432,1.75,3,7,439938.0
1220,7370,1.75,3,7,501152.0
1730,7700,2.5,4,7,629480.0
1460,8141,1.75,3,7,483556.0
1650,8250,1.0,4,7,487119.0
1560,7272,1.0,3,7,462979.0
2130,7210,2.25,4,7,613440.0
1460,10546,2.0,4,7,438378.0
1250,8004,1.5,3,7,471970.0
1250,8004,1.5,3,7,465263.0
1250,9240,1.75,3,7,440992.0
1010,8034,1.0,2,7,423705.0
1310,7107,1.75,3,7,481621.0
2300,3840,2.75,4,8,710390.0
2170,3840,2.5,3,8,627197.0
1540,1607,2.25,3,8,377590.0
1160,8808,1.0,3,7,386173.0
1020,8131,1.0,1,5,377132.0
1950,8100,2.5,4,8,587294.0
1020,8100,1.0,2,7,430317.0
1850,6000,1.75,2,6,351475.0
1540,9450,1.75,3,6,416160.0
860,8100,1.0,2,5,340511.0
2070,12000,2.5,5,7,666611.0
3080,7296,2.5,3,9,901687.0
3960,6654,3.5,4,10,1816004.0
3640,5880,3.5,4,10,1739981.0
2960,7680,2.25,5,8,836508.0
2030,6400,1.5,4,8,607444.0
2220,6641,2.0,3,7,848924.0
1920,4080,2.0,3,7,836505.0
4660,7680,3.25,4,9,629508.0
3240,11415,2.75,3,9,1271406.0
2010,7680,1.75,5,8,693895.0
4630,7680,3.5,4,9,1643777.0
2970,7040,2.5,3,9,1165143.0
2970,7040,2.5,3,9,1417688.0
1020,12540,1.0,3,7,277476.0
1870,7000,2.0,4,7,319216.0
1510,3495,2.0,3,7,381104.0
1310,2996,1.5,3,7,402449.0
900,2728,1.0,2,7,315991.0
900,2837,1.0,2,7,283650.0
1580,4000,2.0,3,7,628822.0
2700,7500,2.5,4,7,394352.0
1600,9072,1.5,3,7,316771.0
1940,7500,1.75,4,7,352511.0
2950,4892,3.5,4,9,1488254.0
1220,2790,1.5,2,8,587536.0
4280,12758,3.5,4,11,1485582.0
3190,12283,2.25,4,9,656486.0
3300,15673,2.75,4,8,574773.0
3110,21960,3.25,4,10,1610934.0
2690,10020,2.5,3,8,854530.0
2120,7888,2.75,4,8,639270.0
2010,8484,1.75,3,8,820742.0
3720,15130,2.5,2,9,759391.0
2200,10729,1.75,3,8,760048.0
2400,4552,2.5,3,8,599729.0
2800,5368,2.5,4,8,729108.0
2280,7344,2.5,4,8,575382.0
2170,6200,2.5,4,8,589003.0
1445,1471,2.25,3,7,455341.0
1445,1498,2.25,3,7,425084.0
1090,964,2.5,2,7,349482.0
1090,984,2.5,2,7,351616.0
1600,2201,2.5,3,7,466482.0
1445,1435,2.25,3,7,408129.0
1090,923,2.5,2,7,376800.0
1445,1452,2.25,3,7,396549.0
1090,1037,2.5,2,7,367161.0
1090,1037,2.5,2,7,385834.0
1090,1068,2.5,2,7,364661.0
1410,1264,2.25,3,7,409883.0
1410,1264,2.25,3,7,377711.0
1490,1111,2.5,3,7,402425.0
1530,1708,2.5,3,7,462739.0
810,6572,1.0,2,7,401111.0
1640,7437,1.75,3,7,586802.0
1840,6383,1.75,4,7,498654.0
2270,7627,1.75,4,7,527976.0
2270,7627,1.75,4,7,525725.0
2900,5803,2.75,4,9,657747.0
2950,5803,2.75,4,9,680000.0
2950,5803,2.75,4,9,646226.0
2900,5803,2.75,4,9,640784.0
3390,8060,2.5,4,10,898595.0
3390,8060,2.5,4,10,883962.0
3160,7257,2.5,4,10,823786.0
3160,7257,2.5,4,10,831205.0
3510,6745,2.5,4,10,842155.0
1750,3653,2.5,3,7,434548.0
2170,3653,2.5,3,7,457369.0
3380,9641,3.25,4,10,878525.0
4190,13494,3.5,4,10,1123634.0
6450,55088,4.25,4,11,1329060.0
4560,56236,3.5,5,10,993891.0
3230,48505,2.75,5,10,790089.0
3800,33385,2.5,3,10,915469.0
3430,42775,2.5,4,10,888681.0
3190,7828,2.5,3,9,557949.0
3190,7828,2.5,3,9,639469.0
2970,9155,2.5,4,9,561620.0
3190,7587,2.5,3,9,547308.0
3190,7587,2.5,3,9,589196.0
3190,7386,2.5,3,9,581260.0
3190,8292,2.5,3,9,556376.0
2970,8119,2.5,4,9,558696.0
2800,7974,3.0,5,9,567608.0
2560,6184,3.0,4,9,537705.0
2560,6200,3.0,4,9,540957.0
2830,7052,2.5,4,9,610049.0
3190,6826,2.5,3,9,580051.0
2290,6675,3.0,6,6,317260.0
1840,7200,3.0,4,6,312120.0
2290,9100,3.0,6,6,357490.0
1660,1634,2.5,3,8,497553.0
1660,1705,2.5,3,8,497553.0
1910,14850,1.75,4,7,324879.0
1050,18304,2.0,3,7,247517.0
1050,18304,2.0,3,7,182385.0
1650,14850,2.0,3,7,311345.0
980,14850,1.0,3,7,276078.0
1160,19965,1.0,3,7,213644.0
1800,16600,1.75,3,7,324662.0
1612,16600,1.5,3,7,312084.0
1520,15000,1.0,3,7,211725.0
1040,14850,1.75,3,7,276690.0
1810,11306,2.25,3,7,370514.0
1300,8800,1.5,3,7,220198.0
1500,5393,2.25,4,7,291979.0
1680,5586,2.25,4,7,340300.0
3850,7128,3.5,6,9,868386.0
2620,6325,2.5,3,9,796318.0
2830,6095,2.5,4,9,660317.0
2830,6095,2.5,4,9,708974.0
3130,5106,2.5,5,9,709699.0
2760,5000,2.5,4,9,687675.0
2780,5572,2.5,4,9,698852.0
2200,4052,2.5,3,8,376901.0
1440,4000,1.75,3,7,406919.0
1510,6356,1.0,3,7,414425.0
1090,5120,1.0,3,7,409180.0
1980,5120,2.0,4,7,531075.0
1280,5120,1.5,2,6,456250.0
1280,7102,1.0,3,7,341143.0
2670,12966,2.75,5,7,436724.0
2170,7443,2.5,3,8,379888.0
1730,6007,2.0,3,8,363592.0
2850,8206,2.75,4,9,754746.0
2330,5262,2.5,3,9,611111.0
2610,6152,2.5,4,9,678394.0
2390,15168,2.5,4,8,588965.0
2390,15168,2.5,4,8,508310.0
2730,10251,2.5,4,9,697069.0
2750,7779,2.5,3,9,704134.0
2740,7347,2.5,3,9,701612.0
2730,11356,2.5,4,9,656245.0
1820,19602,2.25,3,7,339160.0
2170,125017,1.75,4,7,686003.0
2480,30000,2.5,4,8,596242.0
1900,19568,2.75,3,9,988496.0
2200,16237,2.25,3,10,895378.0
1300,22359,1.75,3,7,390081.0
1300,22359,1.75,3,7,238871.0
1340,8400,1.5,4,7,286077.0
1000,34840,1.0,2,7,402963.0
1390,13500,2.0,3,6,316756.0
1560,13681,1.5,4,7,315435.0
980,13770,1.0,3,6,256127.0
2180,13770,3.0,4,7,383309.0
2320,72745,1.0,3,8,457402.0
2170,150282,2.0,4,7,381104.0
2280,213879,2.5,3,8,365522.0
1640,9234,2.0,3,7,367796.0
2450,10800,2.25,5,7,411148.0
